iter	Passed	Remaining
0	544	489529
1	1030	462828
2	1139	340700
3	1477	330908
4	1715	307014
5	2529	376938
6	3310	422381
7	3961	441664
8	4602	455629
9	4850	431669
10	5259	425034
11	5554	411049
12	6287	429022
13	6472	409596
14	7309	431263
15	7459	412128
16	8252	428656
17	8359	409624
18	8527	395424
19	9068	399004
20	9287	388736
21	9594	382913
22	10303	392884
23	10439	381033
24	10529	368523
25	11186	376034
26	11594	374898
27	12043	375053
28	12180	365834
29	12719	368854
30	12905	361767
31	13584	368488
32	14427	379052
33	14646	373063
34	14827	366445
35	15617	374811
36	16238	378758
37	16707	378987
38	17034	376064
39	17447	375131
40	17503	366727
41	17608	359719
42	17698	352733
43	18363	357246
44	18491	351338
45	19023	353172
46	19426	352571
47	19812	351669
48	20101	349102
49	20508	348652
50	20604	343012
51	21218	346024
52	21690	346645
53	21993	344567
54	22653	348032
55	23363	352126
56	24111	356599
57	24827	360422
58	25093	357686
59	25514	357199
60	26178	360056
61	26878	363291
62	27449	364681
63	28134	367513
64	28724	368994
65	29419	371760
66	30004	373045
67	30605	374472
68	31291	376863
69	31897	378217
70	32591	380539
71	33268	382582
72	33843	383409
73	34555	385712
74	36363	399996
75	36994	401100
76	37714	403104
77	38311	403747
78	38931	404593
79	39657	406487
80	40381	408300
81	41031	409314
82	41728	410751
83	42426	412144
84	43090	413162
85	43656	413210
86	44349	414435
87	45058	415770
88	45762	417007
89	46412	417716
90	47164	419296
91	47775	419593
92	48504	420895
93	49100	421012
94	49825	422207
95	50566	423496
96	51167	423586
97	51818	424062
98	52462	424468
99	53148	425187
100	53873	426187
101	54474	426182
102	55099	426355
103	55843	427418
104	56548	428154
105	57244	428793
106	57928	429318
107	58680	430321
108	59354	430728
109	60050	431270
110	60676	431292
111	61365	431751
112	62032	432032
113	62686	432203
114	63407	432828
115	64085	433127
116	64796	433639
117	65420	433549
118	66083	433704
119	66743	433834
120	67496	434542
121	68200	434918
122	68961	435636
123	69655	435909
124	70314	435951
125	70994	436107
126	71802	437036
127	72446	436943
128	73156	437235
129	73818	437234
130	74515	437423
131	75175	437385
132	75888	437643
133	76607	437919
134	77291	437982
135	78030	438350
136	78844	439113
137	79466	438794
138	80171	438923
139	80851	438907
140	81451	438451
141	82162	438585
142	82922	438967
143	83565	438717
144	84281	438846
145	84947	438700
146	85608	438527
147	86427	439145
148	87107	439044
149	87815	439079
150	88653	439746
151	89283	439370
152	89998	439403
153	90619	438976
154	91223	438463
155	91862	438114
156	92593	438198
157	93296	438141
158	93996	438056
159	94711	438041
160	95597	438796
161	96267	438550
162	97072	438911
163	97742	438648
164	98385	438262
165	99076	438086
166	99800	438047
167	100530	438024
168	101227	437854
169	101938	437736
170	102635	437552
171	103342	437404
172	104029	437165
173	104746	437045
174	105473	436963
175	106170	436746
176	106858	436490
177	107593	436417
178	108316	436290
179	109011	436044
180	109686	435716
181	110467	435800
182	111143	435463
183	111956	435658
184	112720	435648
185	113512	435740
186	114328	435915
187	115071	435803
188	115857	435846
189	116513	435391
190	117185	434997
191	117855	434591
192	118611	434500
193	119278	434074
194	120017	433909
195	120786	433844
196	121437	433354
197	122041	432692
198	122727	432322
199	123418	431966
200	124064	431447
201	124741	431035
202	125423	430640
203	126185	430515
204	126925	430308
205	127712	430253
206	128308	429553
207	129105	429525
208	129855	429330
209	130517	428844
210	131304	428762
211	132011	428415
212	132887	428610
213	133557	428131
214	134310	427919
215	135078	427748
216	135755	427286
217	136448	426872
218	137274	426868
219	137956	426410
220	138579	425770
221	139363	425622
222	140067	425228
223	140708	424639
224	141431	424294
225	142117	423838
226	142783	423317
227	143479	422886
228	144159	422405
229	144938	422211
230	145565	421574
231	146322	421306
232	146997	420805
233	147644	420218
234	148389	419911
235	149103	419512
236	149816	419107
237	150442	418458
238	151153	418044
239	151789	417420
240	152522	417064
241	153299	416822
242	154032	416459
243	155006	416738
244	155712	416292
245	156445	415916
246	157185	415554
247	157856	415009
248	158637	414750
249	159318	414227
250	160108	413984
251	160828	413557
252	161528	413078
253	162225	412590
254	163174	412735
255	164032	412643
256	164866	412487
257	165540	411925
258	166201	411333
259	166927	410897
260	167713	410608
261	168365	409989
262	169047	409442
263	169798	409059
264	170467	408479
265	171241	408148
266	172155	408143
267	172890	407711
