iter	Passed	Remaining
0	292	291955
1	600	299561
2	904	300440
3	1212	301982
4	1463	291148
5	1722	285415
6	2020	286683
7	2306	285962
8	2660	292992
9	3010	297992
10	3275	294463
11	3607	297003
12	3877	294380
13	4211	296606
14	4539	298094
15	4890	300794
16	5156	298147
17	5484	299222
18	5780	298445
19	6061	297029
20	6366	296804
21	6717	298614
22	7063	300062
23	7378	300046
24	7703	300452
25	8128	304489
26	8504	306494
27	9011	312821
28	9398	314687
29	9748	315192
30	10077	314991
31	10622	321321
32	11058	324041
33	11564	328558
34	12075	332934
35	12449	333359
36	12926	336441
37	13336	337627
38	13756	338968
39	14106	338564
40	14608	341704
41	15151	345595
42	15625	347766
43	16205	352091
44	16655	353458
45	17131	355301
46	17632	357522
47	18073	358449
48	18598	360972
49	18953	360109
50	19324	359578
51	19746	360000
52	20198	360907
53	20606	360996
54	21005	360920
55	21385	360494
56	21755	359924
57	22104	359013
58	22481	358561
59	22862	358180
60	23183	356870
61	23490	355395
62	23828	354408
63	24222	354258
64	24678	354986
65	25127	355588
66	25523	355426
67	25962	355837
68	26338	355374
69	26711	354887
70	27077	354292
71	27471	354075
72	27848	353638
73	28261	353650
74	28688	353827
75	29069	353422
76	29463	353177
77	29864	353018
78	30237	352517
79	30655	352535
80	31112	352995
81	31555	353268
82	32061	354223
83	32433	353678
84	32755	352602
85	33134	352147
86	33486	351411
87	33809	350389
88	34164	349704
89	34448	348310
90	34776	347383
91	35094	346371
92	35533	346542
93	35891	345928
94	36277	345595
95	36700	345592
96	37028	344709
97	37369	343950
98	37683	342957
99	37980	341826
100	38318	341076
101	38668	340437
102	38952	339230
103	39318	338747
104	39643	337915
105	39986	337241
106	40299	336332
107	40645	335701
108	41025	335358
109	41297	334131
110	41636	333463
111	41916	332336
112	42263	331749
113	42551	330707
114	42855	329801
115	43218	329354
116	43527	328501
117	43829	327607
118	44179	327079
119	44486	326233
120	44813	325546
121	45121	324729
122	45399	323700
123	45709	322918
124	46058	322408
125	46389	321778
126	46676	320856
127	47112	320952
128	47546	321029
129	47890	320495
130	48280	320272
131	48658	319966
132	49065	319849
133	49384	319156
134	49781	318968
135	50174	318758
136	50582	318631
137	50968	318367
138	51337	317999
139	51739	317830
140	52080	317287
141	52446	316893
142	52886	316947
143	53299	316836
144	53737	316863
145	54078	316319
146	54545	316514
147	54863	315834
148	55293	315801
149	55618	315173
150	55982	314764
151	56379	314535
152	56882	314898
153	57327	314930
154	57804	315128
155	58156	314642
156	58550	314382
157	59186	315410
158	59603	315259
159	60041	315216
160	60400	314755
161	60749	314246
162	61104	313769
163	61541	313712
164	61857	313038
165	62245	312726
166	62640	312453
167	63012	312063
168	63340	311456
169	63678	310902
170	64087	310694
171	64487	310441
172	64851	310013
173	65232	309668
174	65557	309055
175	65857	308332
176	66222	307915
177	66532	307243
178	67080	307669
179	67595	307936
180	67998	307684
181	68620	308417
182	69122	308596
183	69684	309034
184	70064	308661
185	70522	308630
186	71037	308840
187	71508	308857
188	71908	308560
189	72320	308312
190	72784	308285
191	73243	308234
192	73617	307820
193	73958	307270
194	74332	306859
195	74632	306144
196	74927	305416
197	75258	304834
198	75550	304100
199	75861	303444
200	76154	302725
201	76481	302138
202	76838	301677
203	77428	302121
204	78034	302622
205	78476	302477
206	78844	302048
207	79180	301493
208	79510	300924
209	79817	300267
210	80156	299732
211	80472	299116
212	80797	298531
213	81144	298035
214	81467	297449
215	81770	296796
216	82083	296179
217	82497	295931
218	82841	295429
219	83190	294947
220	83491	294297
221	83773	293583
222	84116	293088
223	84385	292334
224	84747	291908
225	85049	291274
226	85318	290532
227	85628	289935
228	85973	289457
229	86348	289078
230	86676	288545
231	87047	288158
232	87358	287572
233	87690	287056
234	88036	286587
235	88389	286140
236	88702	285569
237	88986	284906
238	89287	284301
239	89640	283861
240	89875	283051
241	90200	282528
242	90539	282049
243	90833	281436
244	91135	280844
245	91440	280268
246	91786	279819
247	92062	279157
248	92374	278606
249	92686	278059
250	93040	277639
251	93321	277002
252	93661	276540
253	93934	275886
254	94346	275638
255	94689	275190
256	95020	274709
257	95342	274201
258	95664	273697
259	96006	273248
260	96381	272897
261	96702	272389
262	97064	272001
263	97353	271409
264	97668	270892
265	97972	270345
266	98257	269746
267	98605	269325
268	98948	268889
269	99238	268311
270	99580	267874
271	99882	267332
272	100195	266821
273	100482	266241
274	100818	265793
275	101097	265196
276	101451	264799
277	101802	264393
278	102145	263966
279	102445	263431
280	102748	262903
281	103131	262584
282	103494	262209
283	103818	261738
284	104127	261232
285	104464	260795
286	104792	260339
287	105125	259892
288	105440	259404
289	105781	258983
290	106128	258573
291	106433	258065
292	106765	257623
293	107091	257165
294	107432	256745
295	107712	256180
296	108009	255657
297	108319	255169
298	108646	254720
299	108960	254241
300	109308	253843
301	109612	253342
302	109898	252802
303	110231	252372
304	110525	251852
305	110837	251376
306	111174	250956
307	111510	250536
308	111831	250082
309	112126	249570
310	112465	249159
311	112814	248769
312	113074	248186
313	113427	247806
314	113639	247120
315	113938	246626
316	114274	246212
317	114583	245741
318	114900	245289
319	115248	244903
320	115572	244465
321	115882	244000
322	116190	243531
323	116507	243083
324	116817	242621
325	117164	242236
326	117438	241700
327	117735	241213
328	118050	240766
329	118319	240223
330	118673	239856
331	118995	239425
332	119285	238928
333	119600	238484
334	120031	238271
335	120349	237833
336	120705	237471
337	121017	237021
338	121372	236657
339	121729	236299
340	122073	235913
341	122479	235647
342	122860	235333
343	123293	235117
344	123709	234869
345	124072	234517
346	124455	234205
347	124777	233779
348	125105	233362
349	125419	232921
350	125784	232576
351	126151	232233
352	126525	231904
353	126875	231528
354	127170	231055
355	127505	230655
356	127895	230355
357	128239	229972
358	128567	229558
359	128954	229253
360	129260	228801
361	129555	228333
362	129858	227879
363	130209	227509
364	130560	227140
365	130993	226912
366	131390	226621
367	131714	226205
368	132071	225844
369	132580	225745
370	132884	225295
371	133197	224859
372	133656	224672
373	134035	224348
374	134445	224075
375	135055	224135
376	135566	224026
377	136015	223813
378	136416	223520
379	136847	223277
380	137396	223224
381	137811	222950
382	138424	222997
383	138880	222787
384	139241	222425
385	139579	222025
386	140003	221762
387	140351	221378
388	140683	220971
389	141022	220573
390	141430	220284
391	141795	219927
392	142133	219529
393	142506	219184
394	142846	218790
395	143155	218347
396	143514	217983
397	143874	217619
398	144211	217221
399	144550	216825
400	144832	216345
401	145121	215877
402	145510	215558
403	145861	215181
404	146165	214736
405	146529	214380
406	146844	213953
407	147135	213490
408	147426	213030
409	147740	212601
410	148095	212234
411	148433	211842
412	148802	211494
413	149113	211064
414	149460	210684
415	149822	210327
416	150197	209988
417	150509	209561
418	150815	209125
419	151155	208738
420	151475	208323
421	151825	207950
422	152143	207533
423	152488	207154
424	152805	206736
425	153107	206300
426	153435	205898
427	153795	205539
428	154137	205157
429	154498	204800
430	154853	204435
431	155186	204040
432	155564	203706
433	155952	203384
434	156332	203052
435	156682	202680
436	157019	202292
437	157359	201909
438	157691	201514
439	158032	201132
440	158350	200720
441	158729	200387
442	159095	200036
443	159505	199741
444	159885	199407
445	160334	199159
446	160731	198846
447	161135	198541
448	161482	198166
449	161835	197798
450	162207	197454
451	162636	197178
452	163089	196931
453	163528	196666
454	163951	196381
455	164302	196010
456	164652	195637
457	165005	195268
458	165344	194883
459	165701	194519
460	166107	194212
461	166493	193882
462	166798	193457
463	167159	193097
464	167522	192740
465	167871	192367
466	168223	191997
467	168549	191598
468	168908	191237
469	169255	190862
470	169611	190497
471	169939	190101
472	170313	189757
473	170657	189379
474	171014	189015
475	171320	188596
476	171631	188182
477	171984	187815
478	172298	187405
479	172718	187111
480	172969	186634
481	173276	186218
482	173651	185875
483	173966	185468
484	174291	185072
485	174633	184694
486	174983	184325
487	175278	183898
488	175597	183497
489	175941	183123
490	176301	182764
491	176634	182378
492	176984	182010
493	177299	181606
494	177606	181194
495	177953	180824
496	178303	180455
497	178614	180049
498	178966	179683
499	179266	179266
500	179609	178892
501	179911	178478
502	180210	178060
503	180556	177690
504	180874	177292
505	181190	176893
506	181516	176504
507	181803	176077
508	182070	175631
509	182401	175248
510	182728	174861
511	183050	174470
512	183419	174123
513	183749	173739
514	184095	173371
515	184411	172975
516	184767	172616
517	185121	172255
518	185461	171882
519	185756	171467
520	186147	171141
521	186529	170806
522	187008	170560
523	187426	170257
524	187810	169923
525	188144	169544
526	188524	169206
527	188888	168854
528	189227	168480
529	189620	168153
530	190091	167896
531	190504	167586
532	190830	167200
533	191325	166961
534	191703	166620
535	192152	166340
536	192572	166035
537	192998	165734
538	193374	165391
539	193818	165104
540	194225	164786
541	194617	164455
542	195005	164120
543	195427	163814
544	195820	163482
545	196204	163144
546	196635	162844
547	197058	162537
548	197435	162192
549	197845	161873
550	198273	161569
551	198695	161259
552	199162	160986
553	199608	160695
554	199959	160327
555	200404	160035
556	200846	159739
557	201330	159477
558	201678	159106
559	202121	158809
560	202541	158495
561	202903	158134
562	203299	157800
563	203753	157511
564	204179	157200
565	204624	156902
566	205080	156613
567	205441	156251
568	205851	155926
569	206357	155673
570	206801	155372
571	207208	155043
572	207660	154748
573	208121	154459
574	208425	154053
575	208853	153739
576	209307	153443
577	209729	153124
578	210109	152774
579	210548	152466
580	210966	152142
581	211410	151837
582	211832	151516
583	212245	151188
584	212627	150838
585	213035	150506
586	213458	150184
587	213851	149841
588	214337	149563
589	214788	149259
590	215227	148947
591	215641	148617
592	216038	148275
593	216443	147939
594	216803	147572
595	217138	147188
596	217587	146880
597	217981	146536
598	218356	146178
599	218809	145872
600	219265	145568
601	219652	145218
602	220062	144883
603	220526	144583
604	220972	144271
605	221395	143943
606	221787	143595
607	222244	143289
608	222663	142958
609	223128	142656
610	223572	142339
611	223970	141994
612	224348	141636
613	224791	141318
614	225221	140992
615	225654	140667
616	226094	140347
617	226538	140028
618	226859	139634
619	227285	139304
620	227750	138997
621	228171	138663
622	228567	138314
623	228956	137961
624	229372	137623
625	229781	137281
626	230179	136932
627	230694	136653
628	231137	136330
629	231536	135981
630	231892	135607
631	232249	135234
632	232583	134846
633	232935	134470
634	233246	134070
635	233550	133667
636	233884	133281
637	234203	132886
638	234524	132493
639	234848	132102
640	235166	131707
641	235608	131383
642	236009	131034
643	236328	130640
644	236692	130272
645	237022	129885
646	237382	129514
647	237682	129111
648	237992	128714
649	238343	128338
650	238637	127933
651	238922	127522
652	239212	127115
653	239559	126739
654	239893	126356
655	240258	125989
656	240592	125606
657	240992	125257
658	241437	124932
659	241800	124563
660	242116	124171
661	242438	123782
662	242797	123412
663	243192	123061
664	243555	122693
665	243873	122303
666	244254	121944
667	244576	121556
668	244904	121170
669	245198	120769
670	245518	120380
671	245829	119988
672	246143	119597
673	246510	119231
674	246863	118860
675	247189	118475
676	247531	118098
677	247867	117718
678	248221	117347
679	248520	116950
680	248856	116571
681	249234	116211
682	249617	115854
683	249947	115472
684	250351	115125
685	250771	114784
686	251099	114401
687	251431	114021
688	251619	113575
689	251911	113177
690	252241	112796
691	252574	112417
692	252928	112047
693	253285	111679
694	253601	111292
695	253947	110919
696	254250	110528
697	254559	110138
698	254925	109774
699	255309	109418
700	255658	109046
701	255990	108668
702	256338	108296
703	256638	107904
704	256985	107533
705	257315	107154
706	257632	106770
707	257949	106386
708	258285	106010
709	258616	105632
710	258929	105246
711	259283	104878
712	259556	104477
713	259895	104103
714	260253	103737
715	260635	103380
716	260981	103009
717	261316	102634
718	261613	102243
719	261970	101877
720	262327	101510
721	262697	101149
722	263030	100773
723	263270	100362
724	263620	99993
725	263942	99614
726	264262	99234
727	264584	98855
728	264928	98484
729	265217	98094
730	265584	97732
731	265923	97360
732	266264	96988
733	266569	96604
734	266890	96225
735	267228	95853
736	267561	95479
737	267860	95094
738	268218	94729
739	268482	94331
740	268831	93964
741	269148	93585
742	269520	93225
743	269840	92848
744	270176	92476
745	270466	92089
746	270795	91715
747	271091	91330
748	271378	90942
749	271634	90544
750	271980	90177
751	272286	89796
752	272617	89424
753	272950	89052
754	273345	88701
755	273702	88337
756	274045	87969
757	274380	87598
758	274713	87227
759	275043	86855
760	275381	86486
761	275817	86147
762	276196	85790
763	276581	85436
764	276944	85074
765	277330	84719
766	277664	84349
767	278026	83987
768	278347	83612
769	278725	83255
770	279068	82887
771	279451	82532
772	279795	82165
773	280168	81806
774	280547	81449
775	280913	81088
776	281217	80709
777	281539	80336
778	281898	79973
779	282207	79597
780	282559	79232
781	282890	78862
782	283252	78500
783	283559	78123
784	283924	77762
785	284264	77395
786	284647	77039
787	284957	76663
788	285267	76288
789	285591	75916
790	285913	75544
791	286264	75180
792	286618	74817
793	286935	74444
794	287258	74072
795	287657	73721
796	287954	73343
797	288273	72971
798	288622	72607
799	288945	72236
800	289308	71875
801	289642	71507
802	289947	71132
803	290279	70764
804	290653	70406
805	290970	70035
806	291367	69682
807	291700	69315
808	292021	68944
809	292320	68569
810	292703	68213
811	293030	67844
812	293364	67477
813	293702	67111
814	294028	66742
815	294361	66375
816	294720	66014
817	295070	65651
818	295392	65282
819	295813	64934
820	296120	64562
821	296455	64195
822	296816	63835
823	297131	63465
824	297491	63104
825	297830	62739
826	298153	62370
827	298497	62006
828	298887	61652
829	299248	61291
830	299563	60922
831	299915	60559
832	300229	60190
833	300576	59826
834	300939	59467
835	301272	59101
836	301562	58727
837	301914	58365
838	302234	57997
839	302543	57627
840	302888	57264
841	303248	56904
842	303593	56541
843	303911	56173
844	304215	55802
845	304590	55445
846	304856	55068
847	305148	54696
848	305458	54327
849	305834	53970
850	306208	53613
851	306566	53253
852	306913	52891
853	307269	52530
854	307626	52170
855	307944	51803
856	308314	51445
857	308635	51079
858	308982	50717
859	309340	50357
860	309795	50013
861	310329	49681
862	310789	49337
863	311118	48972
864	311471	48611
865	311822	48249
866	312387	47921
867	312818	47571
868	313247	47221
869	313608	46861
870	314003	46505
871	314324	46139
872	314648	45773
873	315040	45417
874	315431	45061
875	315766	44697
876	316099	44333
877	316422	43967
878	316709	43597
879	317045	43233
880	317338	42864
881	317591	42489
882	317930	42126
883	318283	41765
884	318626	41403
885	318953	41039
886	319283	40675
887	319603	40310
888	319906	39943
889	320219	39577
890	320537	39212
891	320892	38852
892	321212	38487
893	321559	38126
894	321921	37767
895	322238	37402
896	322528	37034
897	322881	36674
898	323199	36310
899	323509	35945
900	323818	35580
901	324156	35218
902	324497	34857
903	324837	34496
904	325179	34134
905	325543	33775
906	325880	33414
907	326286	33059
908	326590	32695
909	326929	32333
910	327243	31969
911	327583	31608
912	327898	31245
913	328234	30884
914	328570	30522
915	328903	30161
916	329194	29796
917	329542	29436
918	329811	29069
919	330141	28707
920	330441	28344
921	330780	27983
922	331114	27622
923	331414	27259
924	331731	26897
925	332026	26533
926	332312	26169
927	332620	25806
928	332985	25448
929	333235	25082
930	333551	24720
931	333855	24358
932	334145	23995
933	334431	23632
934	334752	23271
935	335086	22911
936	335382	22549
937	335702	22189
938	336018	21828
939	336340	21468
940	336660	21108
941	337012	20750
942	337381	20393
943	337740	20035
944	338053	19675
945	338361	19314
946	338732	18957
947	339084	18599
948	339343	18236
949	339712	17879
950	340075	17522
951	340416	17163
952	340781	16806
953	341151	16449
954	341577	16095
955	341999	15740
956	342366	15383
957	342782	15028
958	343151	14670
959	343559	14314
960	343943	13958
961	344341	13601
962	344759	13246
963	345100	12887
964	345525	12532
965	346039	12179
966	346444	11822
967	346810	11464
968	347180	11106
969	347515	10747
970	347841	10388
971	348210	10030
972	348545	9671
973	348830	9311
974	349144	8952
975	349463	8593
976	349784	8234
977	350086	7875
978	350368	7515
979	350659	7156
980	350970	6797
981	351308	6439
982	351644	6081
983	351897	5721
984	352219	5363
985	352542	5005
986	352797	4646
987	353107	4288
988	353452	3931
989	353775	3573
990	354080	3215
991	354420	2858
992	354765	2500
